timestamp,session_time,lap_count,lap_time,distance,speed_kmh,speed_ms,rpm,gear,throttle,brake,steering_angle,engine_temp,oil_temp,water_temp,tire_temp_fl,tire_temp_fr,tire_temp_rl,tire_temp_rr,brake_temp_fl,brake_temp_fr,brake_temp_rl,brake_temp_rr,oil_pressure,fuel_pressure,tire_pressure_fl,tire_pressure_fr,tire_pressure_rl,tire_pressure_rr,fuel_level,fuel_consumption_rate,latitude,longitude,altitude,accel_x,accel_y,accel_z,pitch,roll,battery_voltage,alternator_current,grip_efectivo,banking,width,pendiente_actual,fuerza_gravedad_pendiente,slip_ratio,track_point_index
2026-02-09T14:30:49.199441,0.1,0,0.0,0.839629348708861,30.23,8.4,900,1,1.0,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,0.839629,0.0,0,0,0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
2026-02-09T14:30:49.300154,0.2,0,0.0,1.985081762858504,41.24,11.45,2237.0799665681175,1,0.9087359403577324,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,1.145452,0.0,0,0,0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
2026-02-09T14:30:49.400954,0.30000000000000004,0,0.0,3.3458347125903094,48.99,13.61,3051.9045722873857,1,0.8754943028098215,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,1.360753,0.0,0,0,0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
2026-02-09T14:30:49.502072,0.4,0,0.0,4.882484959752583,55.32,15.37,3625.544018887114,1,0.8520920706813255,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,1.53665,0.0,0,0,0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
2026-02-09T14:30:49.602543,0.5,0,0.0,6.570982942780679,60.79,16.88,4094.198813839522,1,0.832972799221492,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,1.688498,0.0,0,0,0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
2026-02-09T14:30:49.703528,0.6,0,0.0,8.394557541674633,65.65,18.24,4498.7767724310415,1,0.8164676105404243,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,1.823575,0.0,0,0,0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
2026-02-09T14:30:49.803895,0.7,0,0.0,10.340605858460087,70.06,19.46,4858.67032756939,1,0.8017853696854398,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,1.946048,0.0,0,0,0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
2026-02-09T14:30:49.904268,0.7999999999999999,0,0.0,12.399187253934281,74.11,20.59,5184.985148683621,1,0.7884730090450592,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,2.058581,0.0,0,0,0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
2026-02-09T14:30:50.004794,0.8999999999999999,0,0.0,14.562188693709526,77.87,21.63,5484.8144677729715,1,0.7762411526658485,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,2.163001,0.0,0,0,0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
2026-02-09T14:30:50.105478,0.9999999999999999,0,0.0,16.82281820392737,81.38,22.61,5763.027693136339,1,0.764891147850517,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,2.26063,0.0,0,0,0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
